,is_ambig,is_correct,is_human,is_context_true_first,percent_certainty_of_correct
0,False,True,False,False,0.5273165233795671
1,False,True,True,True,0.5156199157230156
2,False,True,True,True,0.523420348936324
3,False,True,True,True,0.5621765008857982
4,False,False,False,True,0.44552953503957266
5,False,True,True,True,0.5156199157230156
6,False,True,False,False,0.5926665999540698
7,False,True,True,True,0.5544704649604273
8,False,True,False,False,0.5698526514141571
9,False,True,True,False,0.5428632831725052
10,False,True,False,False,0.5273165233795671
11,False,False,True,False,0.4339814648038985
12,False,False,True,False,0.4416730056646256
13,False,False,True,False,0.47657965106367595
14,False,True,False,True,0.5467381519846138
15,False,True,True,True,0.5428632831725052
16,False,False,False,True,0.48438008427698437
17,False,False,False,True,0.44939263446475963
18,False,False,True,False,0.4301473485858429
19,False,True,False,False,0.6584175072643415
20,False,False,True,False,0.49609382947091946
21,False,True,False,False,0.5851011542032312
22,False,False,True,False,0.42250463481418826
23,False,False,True,False,0.47268347662043286
24,False,True,True,True,0.5039061705290805
25,False,True,True,True,0.5428632831725052
26,False,False,True,False,0.4532618480153861
27,False,True,False,False,0.5736784074525096
28,False,False,True,False,0.4571367168274948
29,False,False,True,False,0.43014734858584286
30,False,True,False,False,0.5698526514141571
31,False,False,False,True,0.46879062662624377
32,False,False,True,False,0.4416730056646256
33,False,True,False,False,0.5544704649604273
34,False,True,True,True,0.5273165233795671
35,False,True,False,False,0.5428632831725052
36,False,False,False,True,0.37387581579519075
37,False,True,True,True,0.5117166047041654
38,False,True,False,False,0.6442250996557036
39,False,True,True,False,0.5
40,False,False,False,True,0.41869690935568665
41,False,True,True,True,0.523420348936324
42,False,False,True,False,0.44167300566462553
43,False,False,True,False,0.3923368301671084
44,False,True,True,True,0.5039061705290805
45,False,True,False,False,0.5698526514141571
46,False,False,False,True,0.47268347662043286
47,False,True,False,False,0.5273165233795671
48,False,False,False,True,0.5
49,False,False,True,False,0.4726834766204328
50,False,True,True,True,0.5544704649604273
51,False,False,True,False,0.3849121444839335
52,False,False,True,False,0.4186969093556867
53,False,False,True,True,0.480478678047907
54,False,True,True,True,0.5117166047041654
55,False,True,True,False,0.5078118642792044
56,False,False,True,False,0.4263215925474903
57,False,False,True,False,0.46490157137338844
58,False,False,False,True,0.4186969093556867
59,False,True,True,True,0.6150878555160665
60,False,True,True,True,0.5039061705290805
61,False,False,False,True,0.46879062662624377
62,False,False,True,False,0.43014734858584286
63,False,True,False,True,0.5078118642792044
64,False,True,True,False,0.5350984286266115
65,False,True,True,True,0.5156199157230156
66,False,False,False,True,0.42250463481418826
67,False,True,False,False,0.5698526514141571
68,False,True,False,False,0.5428632831725052
69,False,True,True,True,0.523420348936324
70,False,True,True,True,0.5813030906443134
71,False,False,True,False,0.44939263446475963
72,False,False,False,True,0.4571367168274948
73,False,False,False,True,0.4455295350395727
74,False,True,True,True,0.523420348936324
75,False,True,True,True,0.5964331462646254
76,False,True,True,True,0.5964331462646254
77,False,False,False,True,0.40356685373537454
78,False,True,False,False,0.6039318337259584
79,False,True,True,True,0.600188359260205
80,False,False,True,False,0.4960938294709195
81,False,True,False,False,0.5736784074525098
